candidate_id,from_support_id,to_support_id,source_group,source_sheet,topology_evidence,carpenteria_crosscheck,section_family_candidate,canonical_promotion_state,note
FND-C017,27,30,F1A-G03,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C018,30,33,F1A-G03,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C019,24,16,F1A-G04,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C020,16,8,F1A-G04,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C021,23,15,F1A-G04,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C022,15,7,F1A-G04,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C023,22,14,F1A-G04,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,"Parenthesized dimensions on source apply to the 22-14-6 sequence."
FND-C024,14,6,F1A-G04,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,"Parenthesized dimensions on source apply to the 22-14-6 sequence."
FND-C025,c,a,F1A-G05,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-B,CANDIDATE_ONLY,"Terrace-added support subsystem directly documented."
FND-C026,a,17,F1A-G05,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-B,CANDIDATE_ONLY,"Terrace-added support subsystem directly documented."
FND-C027,17,9,F1A-G05,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-B_TO_A_TRANSITION_WATCH,CANDIDATE_ONLY,"Section-family transition toward numbered main grid to map."
FND-C028,9,1,F1A-G05,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C029,d,b,F1A-G05,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-B,CANDIDATE_ONLY,"Terrace-added support subsystem directly documented."
FND-C030,b,18,F1A-G05,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-B,CANDIDATE_ONLY,"Terrace-added support subsystem directly documented."
FND-C031,18,10,F1A-G05,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-B_TO_A_TRANSITION_WATCH,CANDIDATE_ONLY,"Section-family transition toward numbered main grid to map."
FND-C032,10,2,F1A-G05,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C033,a,b,F1A-G06,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-B,CANDIDATE_ONLY,
FND-C034,b,25,F1A-G06,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-B_TO_VERIFY,CANDIDATE_ONLY,
FND-C035,25,26,F1A-G06,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A_TO_VERIFY,CANDIDATE_ONLY,
FND-C036,26,27,F1A-G06,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A_TO_VERIFY,CANDIDATE_ONLY,
FND-C037,c,d,F1A-G06,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-B,CANDIDATE_ONLY,
FND-C038,d,28,F1A-G06,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-B_TO_VERIFY,CANDIDATE_ONLY,
FND-C039,28,29,F1A-G06,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A_TO_VERIFY,CANDIDATE_ONLY,
FND-C040,29,30,F1A-G06,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A_TO_VERIFY,CANDIDATE_ONLY,
FND-C041,31,32,F1A-G06,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A_TO_VERIFY,CANDIDATE_ONLY,"Third stacked sequence starts at 31; no artificial a/c/d/b predecessor is created."
FND-C042,32,33,F1A-G06,TAV-01A,DOC_ARMATURE_TRIPLE_SEQUENCE,PENDING_TAV01S,FND-SEC-A_TO_VERIFY,CANDIDATE_ONLY,
FND-C043,12,5,F1A-G07,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,"Offset connection to cross-register on TAV-01S."
FND-C044,5,4,F1A-G07,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,"Short return connection to cross-register on TAV-01S."
