beam_id,support_i,support_j,geometry_role,section_hint,source_tile_primary,source_tile_crosscheck,evidence_basis,orientation,x_i_face_m,y_i_face_m,x_j_face_m,y_j_face_m,clear_vector_length_m,vector_derivation,vector_status,note
B-014,31,28,LEFT_ROW_1,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,HORIZONTAL,-4.4500,8.9500,-0.2500,8.9500,4.2000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-015,28,25,LEFT_ROW_1,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,HORIZONTAL,0.2500,8.9500,3.2000,8.9500,2.9500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-016,25,19,LEFT_ROW_1,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,HORIZONTAL,3.7000,8.9500,7.4318,8.9500,3.7318,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,P25-P19 continuity retained; former 2.10 m attribution revoked.
B-017,32,29,LEFT_ROW_2,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,HORIZONTAL,-4.5000,15.2000,-0.2500,15.2000,4.2500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-018,29,26,LEFT_ROW_2,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,HORIZONTAL,0.2500,15.2000,3.2000,15.2000,2.9500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-019,26,21,LEFT_ROW_2,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,HORIZONTAL,3.7000,15.2000,5.3500,15.2000,1.6500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-020,33,30,LEFT_ROW_3,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,HORIZONTAL,-4.5000,20.1500,-0.1500,20.1500,4.3500,DOCUMENTARY_ROW_AXIS_INTERSECT_EXTENDED_FACE,WORKING_EXTENDED_FACE_VECTOR,P33 row intersects P30 left face at its own beam elevation; no centroid snapping.
B-021,30,27,LEFT_ROW_3,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,HORIZONTAL,0.1500,19.2800,3.2000,19.2800,3.0500,DOCUMENTARY_ROW_AXIS_INTERSECT_EXTENDED_FACE,WORKING_EXTENDED_FACE_VECTOR,P27 row intersects P30 right face at a different point from B-020.
B-022,27,22',LEFT_ROW_3,,TAV-02S_L1_R03C01,,DOC_CONTINUITY_REBOUND,HORIZONTAL,3.7000,19.2800,5.3000,19.2800,1.6000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_REBOUND,P27 connects to P22-prime; no 2.10 m span asserted.
B-023,31,32,LEFT_COL_0,70x25,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_SECTION_BOUND,VERTICAL,-4.7000,9.1500,-4.7000,14.9500,5.8000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Section callout retained as beam section.
B-024,32,33,LEFT_COL_0,70x25,TAV-02S_L1_R03C01,,DOC_SECTION_BOUND,VERTICAL,-4.7000,15.4500,-4.7000,19.9000,4.4500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Section callout retained as beam section.
B-025,28,29,LEFT_COL_1,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,VERTICAL,0.0000,9.1500,0.0000,15.0000,5.8500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-026,29,30,LEFT_COL_1,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,VERTICAL,0.0000,15.4000,0.0000,19.1834,3.7834,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_EXTENDED_FACE_VECTOR,Longitudinal run terminates on P30 physical face.
B-027,25,26,LEFT_COL_2,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,VERTICAL,3.4500,9.1500,3.4500,15.0000,5.8500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-028,26,27,LEFT_COL_2,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,VERTICAL,3.4500,15.4000,3.4500,19.0800,3.6800,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-029,19,21,LEFT_COL_3,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,UNRESOLVED,,,,,,NO_VECTOR_SOURCE_REVIEW,BLOCKED,Inherited P19-P21 binding not confirmed; P20-P21 diagonal is directly visible instead.
B-030,21,22,LEFT_COL_3,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,VERTICAL,5.5500,15.4500,5.5500,17.9000,2.4500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-031,23,15,LOWER_ROW_1,,TAV-02S_L1_R04C01,TAV-02S_L1_R04C02,DOC_CONTINUITY,HORIZONTAL,5.7789,23.4000,11.2000,23.4000,5.4211,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_EXTENDED_FACE_VECTOR,P23-P15 continuity retained; former 6.45 m attribution revoked.
B-032,15,7,LOWER_ROW_1,,TAV-02S_L1_R04C02,,DOC_CONTINUITY,HORIZONTAL,11.7000,23.4000,15.8500,23.4000,4.1500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-033,24,16,LOWER_ROW_2,,TAV-02S_L1_R04C01,TAV-02S_L1_R04C02,DOC_CONTINUITY,HORIZONTAL,5.2000,28.1000,11.2000,28.1000,6.0000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Documented 6.45 m axis spacing remains separate from clear beam length.
B-034,16,8,LOWER_ROW_2,,TAV-02S_L1_R04C02,,DOC_CONTINUITY,HORIZONTAL,11.7000,28.1000,15.9000,28.1000,4.2000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-035,23,24,LOWER_COL_LEFT,,TAV-02S_L1_R04C01,,DOC_CONTINUITY,VERTICAL,5.0000,23.5500,5.0000,27.8500,4.3000,DOCUMENTARY_COLUMN_AXIS_INTERSECT_EXTENDED_FACE,WORKING_EXTENDED_FACE_VECTOR,Documentary column axis intersects P23 face at X=5.00; centroid remains distinct.
B-036,15,16,LOWER_COL_MID,,TAV-02S_L1_R04C02,,DOC_CONTINUITY,VERTICAL,11.4500,23.6000,11.4500,27.9000,4.3000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-037,7,8,LOWER_COL_RIGHT,,TAV-02S_L1_R03C02,TAV-02S_L1_R04C02,DOC_CONTINUITY,DUPLICATE,,,,,,NO_SECOND_PHYSICAL_MEMBER,PROVENANCE_ONLY,Same physical P7-P8 run already represented by B-012.
B-038,18,10,MID_ROW_1,,TAV-02S_L1_R02C02,TAV-02S_L1_R02C01,DOC_CONTINUITY,HORIZONTAL,7.7740,4.7000,12.1500,4.7000,4.3760,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_EXTENDED_FACE_VECTOR,P18 physical-face endpoint used.
B-039,10,2,MID_ROW_1,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,HORIZONTAL,12.6500,4.7000,17.7500,4.7000,5.1000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-040,20,11,MID_ROW_2,,TAV-02S_L1_R02C02,TAV-02S_L1_R03C02,DOC_CONTINUITY,HORIZONTAL,7.8818,9.8000,12.1500,9.8000,4.2682,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,P20 X remains MIS_WATCH; vector existence inherited from source claim.
B-041,11,3,MID_ROW_2,,TAV-02S_L1_R02C02,TAV-02S_L1_R03C02,DOC_CONTINUITY,HORIZONTAL,12.6500,9.8000,17.7000,9.8000,5.0500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-042,9,10,INNER_COL_RIGHT,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,VERTICAL,12.4000,0.2500,12.4000,4.5000,4.2500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-043,10,11,INNER_COL_RIGHT,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,VERTICAL,12.4000,4.9000,12.4000,9.6000,4.7000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-044,12,5,MID_ROW_3,,TAV-02S_L1_R03C02,,DOC_CONTINUITY,UNRESOLVED,,,,,,NO_VECTOR_SOURCE_REVIEW,BLOCKED,Direct P12-P5 face-to-face path not confirmed; no diagonal vector created.
B-045,14,6,LOWER_RIGHT_CROSS,,TAV-02S_L1_R03C02,,DOC_CONTINUITY,HORIZONTAL,11.7000,18.1000,15.8500,18.1000,4.1500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim.
B-046,14,15,INNER_COL_LOWER,65x30,TAV-02S_L1_R03C02,TAV-02S_L1_R04C02,DOC_SECTION_BOUND,VERTICAL,11.4500,18.3000,11.4500,23.2000,4.9000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Section callout retained as beam section.
B-047,22,22',LOCAL_PRIME_LINK,,TAV-02S_L1_R03C01,,DOC_CONTINUITY_MIS_LENGTH,VERTICAL,5.5500,18.3000,5.5500,19.0800,0.7800,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Beam existence documentary; center spacing remains MIS-supported rather than DOC.
B-048,11,12,CENTRAL_BENT_CHAIN,120x20,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,VERTICAL,12.4000,10.0000,12.4000,12.8225,2.8225,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,P12 Y includes MIS completion; 120x20 is beam section.
B-049,12,13,CENTRAL_BENT_CHAIN,120x20,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,DIAGONAL,12.2884,13.3225,11.5393,15.0000,1.8371,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inclined documentary segment; 120x20 is beam section.
B-050,13,14,CENTRAL_BENT_CHAIN,120x20,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,VERTICAL,11.4500,15.4000,11.4500,17.9000,2.5000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Section callout retained as beam section.
B-051,20,21,CENTRAL_DIAGONAL,65x30,TAV-02S_L1_R03C01,TAV-02S_L1_R03C02,DOC_SECTION_BOUND,DIAGONAL,7.5547,10.0000,5.6464,14.9500,5.3051,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Direct r3_c2 diagonal P20-P21 with 65x30 beam section.
