beam_id,storey_id,from_support_id,to_support_id,direction_class,section_cm,structural_role,evidence_class,section_status,primary_sources,note
G5-B017,G5,12,19,DIAGONAL,30x50,IMPLUVIO,DOC+MIS+INF,SUPPORTED,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,TAV-06S topology + qualified identification as impluvio + TAV-06A inclined-beam 30x50 family; no direct 12-19 endpoint label on TAV-06A.
G5-B018,G5,18,19,Y_WITH_OFFSET,30x50,ORDINARY_BEAM_OFFSET,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B019,G5,19,20,Y,30x50,ORDINARY_BEAM_ADJACENT_RIGID_ZONE,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human read: rectangular beam 30x50; triangular intersection zone is rigid and catalogued separately.
G5-B020,G5,13,21,X,30x50,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B021,G5,14,22,X,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B022,G5,15,23,X,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B023,G5,19,25,X,30x50,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B024,G5,21,22,Y,30x50,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B025,G5,22,22',Y,30x50,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B026,G5,22',23,Y_WITH_OFFSET,30x50,ORDINARY_BEAM_OFFSET,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B027,G5,21,26,X,30x50,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B028,G5,22',27,X,30x50,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B029,G5,25,26,Y,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B030,G5,26,27,Y,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B031,G5,25,28,X,30x50,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B032,G5,26,29,X,30x50,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B033,G5,27,30,X_WITH_OFFSET,30x50,ORDINARY_BEAM_OFFSET,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human rule: remaining rectangular roof beams 30x50.
G5-B034,G5,28,29,Y,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B035,G5,29,30,Y,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B036,G5,19,26,DIAGONAL_WITH_OFFSET,30x50,OBLIQUE_ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,TAV-06A explicitly labels endpoints 19-26 and section 30x50; counted once.
