component_id,model_scope,source_dataset,selector,import_mode,release_class,z_policy,parameter_policy,exclusion_policy,validation_gate,notes
M0-C011,G1_TERRACE_ADDED_COLUMNS,ETW_FIRST_LEVEL_TERRACE_FOUNDATION_SUPPORT_AUDIT_v1.csv,"record_id=ETW-FLT-FND-004",IMPORT_RESIDUALS_ONLY,BLOCKED_LOCAL,NO_ELEMENT_Z,NONE,NO_COLUMN_OR_FOUNDATION_GENERATION,FRAME_WELL_FORMEDNESS_GATE,"Existence user-reported; location/base genealogy unresolved."
M0-C012,UPPER_WING_A_CANTILEVER,ETW_UPPER_CANTILEVER_ANALYTICAL_STATES_v1.csv,"scope=WING-A via genealogy registers",IMPORT_SYMBOLIC_STATE,PARAMETRIC_ND,PARAMETRIC_UPPER_Z,"ORIGINAL_LENGTH + L_EXT",NONE,ETW_UPPER_CANTILEVER_WELL_FORMEDNESS_RULE_v1.md,"Keep original and later extension as distinct genealogy segments."
M0-C013,UPPER_WING_B_CANTILEVER,ETW_UPPER_CANTILEVER_ANALYTICAL_STATES_v1.csv,"scope=WING-B via genealogy registers",IMPORT_SYMBOLIC_STATE,PARAMETRIC_ND,PARAMETRIC_UPPER_Z,"ORIGINAL_LENGTH + L_EXT",NONE,ETW_UPPER_CANTILEVER_WELL_FORMEDNESS_RULE_v1.md,"Support/start line resolved; exact free edge remains ND."
M0-C014,UPPER_WING_C_CANTILEVER,ETW_UPPER_TRANSITION_STRUCTURAL_GRAPH_v1.csv,"graph_item_id=ETW-UTG-C03",IMPORT_RESIDUALS_ONLY,BLOCKED_LOCAL,NO_ELEMENT_Z,NONE,NO_CANTILEVER_MEMBER_GENERATION,ETW_UPPER_CANTILEVER_WELL_FORMEDNESS_RULE_v1.md,"Composite irregular transition; do not regularize by analogy."
M0-C015,STAIR_TOWER_ROOF,ETW_STAIR_TOWER_ROOF_SUPPORT_AUDIT_v1.csv,"record_id=ETW-TOWER-GATE",IMPORT_RESIDUALS_ONLY,BLOCKED_LOCAL,NO_ELEMENT_Z,NONE,NO_TOWER_ELEMENT_GENERATION,FRAME_WELL_FORMEDNESS_GATE,"Separate local subsystem; no exclusive support IDs resolved."
M0-C016,FOUNDATION_MAIN,foundation_edges_doc_v1.csv,"status=DOC",IMPORT_TOPOLOGY,PARAMETRIC_ND,FOUNDATION_Z_POLICY,"FOUNDATION_SECTION_MATERIAL_SUPPORT_POLICY",NONE,FOUNDATION_SOURCE_GATE,"Generate documentary foundation topology subset; do not infer missing edges."
M0-C017,LEGACY_V25_AUDIT,ETW_V25_RECOVERY_AUDIT_v1.csv,"all",IMPORT_PROVENANCE_ONLY,PARAMETRIC_ND,NA,NONE,NO_DIRECT_MODEL_IDENTITY,ETW_V25_P_N_CROSSWALK_GATE_v1.csv,"Recovered historical layer is a second discriminator, not blanket canonical identity."
M0-C018,LEGACY_P_N_IDENTITY,ETW_V25_P_N_CROSSWALK_GATE_v1.csv,"gate",IMPORT_RULE_ONLY,BLOCKED_LOCAL,NA,NONE,NO_GLOBAL_P_N_CROSSWALK,FRAME_WELL_FORMEDNESS_GATE,"P-ID and legacy N-ID remain separate namespaces."
M0-C019,GLOBAL_MATERIALS,REGISTRO_MASTER.md,"MAT-001;MAT-002",IMPORT_PARAMETERS,PARAMETRIC_ND,NA,"CONCRETE + STEEL + LC_FC",NO_ASSESSMENT_GRADE_SOLVER_UNTIL_SET,M0_STRUCTURAL_MODEL_RELEASE_v1.md,"Geometry/topology M0 may be generated before assessment-grade material closure."
M0-GATE,ALL,M0_STRUCTURAL_ENTITY_RELEASE_v1.csv,"release_class in {READY;PARAMETRIC_ND}",BUILD_GRAPH,PARAMETRIC_ND,MIXED,"ALL_NAMED_PARAMETERS",EXCLUDE_BLOCKED_LOCAL,M0_STRUCTURAL_MODEL_RELEASE_v1.md,"Single machine-readable import contract for first M0 analytical graph."
