release_id,level_scope,entity_ref,entity_kind,release_class,geometry_status,section_status,identity_status,solver_action,source_basis,notes
M0-R013,G2_G3,G23-CAND-8459,COLUMN_CANDIDATE,PARAMETRIC_ND,READY_DIFFERENTIAL,35x50_TO_30x50,IDENTITY_SET_ONLY,DO_NOT_MERGE_WITH_READY_VERTICALS,"ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv","Candidate set {P13;P22;P26}; no exact identity by section alone."
M0-R014,G2_G3,G23-CAND-7074,COLUMN_CANDIDATE,BLOCKED_LOCAL,READY_DIFFERENTIAL,40x45_TO_40x40,UNRESOLVED,EXCLUDE_EXACT_ID,"ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv","P20 explicitly excluded; exact P-ID open."
M0-R015,G2_G3,G23-CAND-6500,COLUMN_CANDIDATE,BLOCKED_LOCAL,READY_DIFFERENTIAL,45x40_TO_40x40,UNRESOLVED,EXCLUDE_EXACT_ID,"ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv","Keep as unresolved documentary section change."
M0-R016,G2_G3,G23-CAND-7993,MULTIPLE_COLUMN_CANDIDATES,BLOCKED_LOCAL,AGGREGATE,45x40_TO_40x40,AGGREGATE_UNBOUND,EXCLUDE_UNTIL_SPLIT,"ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv","Must be split before identity binding."
M0-R017,G3,ORIGINAL_FRAME_G3,FRAME_GRAPH,PARAMETRIC_ND,SOURCE_BOUND_PARTIAL,PARTIAL_DOC,PARTIAL_IDENTITY,GENERATE_SOURCE_BOUND_SUBSET,"TAV-04S + G3/G4 crosswalk","Do not infer missing beams/columns from typical-floor assumption."
M0-R018,G4,ORIGINAL_FRAME_G4,FRAME_GRAPH,PARAMETRIC_ND,READY_P_SUPPORT_SYSTEM,PARTIAL_DOC,P_ID_SYSTEM_RESOLVED_PARTIAL,GENERATE_SOURCE_BOUND_SUBSET,"TAV-05S + M0G-T05-V1 calibration + recovered v25","P-space is primary analytical identity space; legacy N-space remains separate."
M0-R019,G4_G5,P01;P09;P17,TERMINATION_SET,READY,READY,NA,P_IDS_RESOLVED,NO_VERTICAL_EXTRUSION,"ETW_G4_G5_P_AXIS_RELEASE_CORE_v1.csv","WING-B terminations."
M0-R020,G4_G5,P08;P16;P21,TERMINATION_SET,READY,READY,NA,P_IDS_RESOLVED,NO_VERTICAL_EXTRUSION,"ETW_UPPER_COLUMN_TERMINATION_SET_v1.csv","WING-C; P21 has distinct V-order-present/roof-absent depth."
M0-R021,G4_G5,P31;P32;P33,TERMINATION_SET,READY,READY,NA,P_IDS_RESOLVED,NO_VERTICAL_EXTRUSION,"ETW_G4_G5_P_AXIS_RELEASE_CORE_v1.csv","WING-A terminations."
M0-R022,UPPER,WING-A_ORIGINAL_CANTILEVER,BEAM_GENEALOGY,PARAMETRIC_ND,ORIGINAL_CANTILEVER_DOC,LENGTH_SECTION_ND,UPPER_MEMBER_ID_UNRESOLVED,GENERATE_SYMBOLIC_STATE_ONLY,"TAV-06E + ETW upper genealogy registers","Keep original cantilever distinct from later extension."
M0-R023,UPPER,WING-B_ORIGINAL_CANTILEVER,BEAM_GENEALOGY,PARAMETRIC_ND,ORIGINAL_CANTILEVER_DOC,LENGTH_SECTION_ND,UPPER_MEMBER_ID_UNRESOLVED,GENERATE_SYMBOLIC_STATE_ONLY,"TAV-06E + ETW upper genealogy registers","Support line P02/P10/P18 is resolved; exact free edge remains ND."
M0-R024,UPPER,WING-C_ORIGINAL_CANTILEVER,BEAM_GENEALOGY,BLOCKED_LOCAL,COMPOSITE_GEOMETRY,LENGTH_SECTION_ND,COMPOSITE_IDENTITY,EXCLUDE_MEMBER_GENERATION,"ETW_UPPER_TRANSITION_STRUCTURAL_GRAPH_v1.csv","Do not regularize WING-C by analogy."
M0-R025,UPPER,UPPER_LATER_EXTENSION,ALTERATION_STATE,PARAMETRIC_ND,CURRENT_EDGE_PHOTO,L_EXT_ND,RIF_GENEALOGY,GENERATE_SENSITIVITY_STATE,"ETW_UPPER_CANTILEVER_ANALYTICAL_STATES_v1.csv","Use L_ext>=0 sensitivity only; no nominal final value."
M0-R026,G5,AC-G5-001..AC-G5-025,ROOF_COLUMNS,READY,READY,READY_25_OF_25,P_IDS_RESOLVED,GENERATE,"ETW_G5_ANALYTICAL_COLUMN_RELEASE_v1.csv","All 25 numbered roof-support columns have documentary section; global material model remains separate."
M0-R027,G5,AC-G5-X01_P21,TERMINATED_COLUMN,READY,READY,30x40_DOC,P21_RESOLVED,DO_NOT_EXTRUDE,"ETW_G5_ANALYTICAL_COLUMN_RELEASE_v1.csv","Retain as termination evidence only."
M0-R028,G5,AG5-001,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",""
M0-R029,G5,AG5-002,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",""
M0-R030,G5,AG5-003,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",""
M0-R031,G5,AG5-004,RIDGE_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","WING-A ridge."
M0-R032,G5,AG5-005,RIDGE_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","WING-A ridge."
M0-R033,G5,AG5-006,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",""
M0-R034,G5,AG5-007,ROOF_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P12-P19."
M0-R035,G5,AG5-008,ROOF_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P18-P19."
M0-R036,G5,AG5-009,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",""
M0-R037,G5,AG5-010,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",""
M0-R038,G5,AG5-011,ROOF_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P05-P13."
M0-R039,G5,AG5-012,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",""
M0-R040,G5,AG5-013,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",""
M0-R041,G5,AG5-014,RIDGE_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","WING-B ridge."
M0-R042,G5,AG5-015,RIDGE_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","WING-B ridge."
M0-R043,G5,AG5-016,ROOF_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P13-P24."
M0-R044,G5,AG5-017,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",""
M0-R045,G5,AG5-018,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",""
M0-R046,G5,AG5-019,ROOF_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P24-P22."
M0-R047,G5,AG5-020,EAVE_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P22-P22P."
M0-R048,G5,AG5-021,EAVE_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P22P-P23."
M0-R049,G5,AG5-022,ROOF_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P25-P26."
M0-R050,G5,AG5-023,ROOF_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P26-P27."
M0-R051,G5,AG5-024,EAVE_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P25-P28."
M0-R052,G5,AG5-025,RIDGE_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","WING-C ridge P26-P29."
M0-R053,G5,AG5-026,EAVE_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P27-P30."
M0-R054,G5,AG5-027,ROOF_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P28-P29."
M0-R055,G5,AG5-028,ROOF_BEAM,PARAMETRIC_ND,READY,ND,ENDPOINTS_RESOLVED,GENERATE_WITH_SECTION_PARAMETER,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P29-P30."
M0-R056,G5,AG5-029,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P03-P11."
M0-R057,G5,AG5-030,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P11-P20."
M0-R058,G5,AG5-031,ROOF_BEAM,READY,READY,30x50_DOC,ENDPOINTS_RESOLVED,GENERATE,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv","P19-P26; phi6/15 stirrups documented."
M0-R059,G5,STAIR_TOWER_ROOF_SUBSYSTEM,LOCAL_FRAME,BLOCKED_LOCAL,PARTIAL_PHOTO_DOC,30x40_FAMILY_NOT_DISCRIMINATING,IDENTITY_UNRESOLVED,EXCLUDE_FROM_BASE_M0,"ETW_STAIR_TOWER_ROOF_SUPPORT_AUDIT_v1.csv","Model as separate future local subsystem; never merge into 25 main roof supports."
M0-R060,ALL,MATERIAL_CONCRETE,MATERIAL_MODEL,PARAMETRIC_ND,NA,NA,NA,REQUIRE_SOLVER_PARAMETER,"REGISTRO_MASTER MAT-001","Geometry release is independent; final verification requires measured/documented material model."
M0-R061,ALL,MATERIAL_STEEL,MATERIAL_MODEL,PARAMETRIC_ND,NA,NA,NA,REQUIRE_SOLVER_PARAMETER,"REGISTRO_MASTER MAT-001","Do not infer characteristic strengths from construction era alone."
M0-R062,ALL,LC_FC,KNOWLEDGE_FACTOR,PARAMETRIC_ND,NA,NA,NA,REQUIRE_VERIFICATION_STAGE_INPUT,"REGISTRO_MASTER MAT-002","Not needed to preserve geometry topology; mandatory for assessment stage."
M0-GATE,ALL,M0_STRUCTURAL_MODEL,MODEL_RELEASE,PARAMETRIC_ND,PARTIAL_BUILDING_GRAPH,PARTIAL_SECTIONS,MIXED_IDENTITIES,GENERATE_M0_WITH_EXCLUSIONS_AND_PARAMETERS,"current ETW canonical state","Base M0 may be generated from READY + PARAMETRIC_ND entities. BLOCKED_LOCAL entities are excluded but retained as explicit residual records. No typical-floor extrusion and no P<->N automatic crosswalk."
