edge_id,roof_branch,node_i,node_j,edge_class,source,evidence_state,confidence,section_status,topology_status,notes
G5-E017,WING-B,P14,P22,ROOF_FRAME_MEMBER,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A pitched-roof path P22-P14-P06."
G5-E018,WING-B,P15,P23,ROOF_FRAME_MEMBER,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A pitched-roof path P23-P15-P07."
G5-E019,WING-B,P24,P22,SUPPORT_LINE,TAV-06S,DOC_RASTER,MEDIUM,ND,VERIFIED_VISUAL,"Potential extension of the opposite eave system; P24 role not yet sufficiently source-bound for promotion."
G5-E020,WING-B,P22,P22P,EAVE_BEAM,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND,VERIFIED,"P22 and P23 are documentary eave endpoints of pitched frames; TAV-06S shows continuous longitudinal member through distinct intermediate support P22P. Section remains ND."
G5-E021,WING-B,P22P,P23,EAVE_BEAM,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND,VERIFIED,"Continuation of opposite WING-B eave beam P22-P22P-P23."
G5-E022,WING-C,P25,P26,ROOF_FRAME_MEMBER,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND_T06A_PATH_VERIFIED,VERIFIED,"TAV-06A path P25-P26-P27 verifies identity; section not promoted in v1."
G5-E023,WING-C,P26,P27,ROOF_FRAME_MEMBER,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND_T06A_PATH_VERIFIED,VERIFIED,"TAV-06A path P25-P26-P27 verifies identity; section not promoted in v1."
G5-E024,WING-C,P25,P28,EAVE_BEAM,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND,VERIFIED,"P25/P28 are corresponding eave endpoints of the two documentary pitched frames P25-P26-P27 and P28-P29-P30; TAV-06S shows their longitudinal connection."
G5-E025,WING-C,P26,P29,RIDGE_BEAM,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND,VERIFIED,"P26 and P29 are documentary intermediate ridge supports in TAV-06A B05/B06; TAV-06S LINEA DI COLMO aligns with their longitudinal connection. Section remains unbound."
G5-E026,WING-C,P27,P30,EAVE_BEAM,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND,VERIFIED,"P27/P30 are corresponding opposite eave endpoints of the two documentary pitched frames; TAV-06S shows their longitudinal connection."
G5-E027,WING-C,P28,P29,ROOF_FRAME_MEMBER,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND_T06A_PATH_VERIFIED,VERIFIED,"TAV-06A path P28-P29-P30 verifies identity; section not promoted in v1."
G5-E028,WING-C,P29,P30,ROOF_FRAME_MEMBER,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND_T06A_PATH_VERIFIED,VERIFIED,"TAV-06A path P28-P29-P30 verifies identity; section not promoted in v1."
G5-E029,WING-A,P03,P11,ROOF_FRAME_MEMBER,TAV-06A,DOC,HIGH,30x50_DOC_T06A,VERIFIED,"Documentary member from TAV-06A pitched-roof path P03-P11-P20."
G5-E030,WING-A,P11,P20,ROOF_FRAME_MEMBER,TAV-06A,DOC,HIGH,30x50_DOC_T06A,VERIFIED,"Documentary member from TAV-06A pitched-roof path P03-P11-P20."
G5-E031,INTER_WING,P19,P26,ROOF_FRAME_MEMBER,TAV-06A,DOC,HIGH,30x50_DOC_T06A,VERIFIED,"Documentary one-span member P19-P26; adjacent section callout 30x50 and stirrups phi6/15cm."
G5-R001,WING-A,P10-P11-P12,ETW-RF-RIDGE-A,RIDGE_RELATION,TAV-06S+TAV-06A,DOC_GEOMETRY+DOC,HIGH,N/A,PASS,"Ridge support chain and longitudinal ridge member are bound. Section remains ND pointwise."
G5-R002,WING-B,P13-P14-P15,ETW-RF-RIDGE-B,RIDGE_RELATION,TAV-06S+TAV-06A,DOC_GEOMETRY+DOC,HIGH,N/A,PASS,"Longitudinal ridge beam bound and section 30x50 documented by TAV-06A B10."
G5-R003,WING-C,P26-P29,ETW-RF-RIDGE-C,RIDGE_RELATION,TAV-06S+TAV-06A,DOC_GEOMETRY+DOC,HIGH,N/A,PASS,"Longitudinal ridge beam bound between documentary ridge supports P26/P29; section ND."
G5-X001,ALL,ROOF_SUPPORT_GRAPH,ROOF_SUPPORT_GRAPH,MODEL_RULE,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,N/A,PASS_RULE,"31-member graph retained. Source-bound eave beams now include P02-P03-P04, P05-P06-P07, P22-P22P-P23, P25-P28 and P27-P30. WING-A opposite eave and P24 extension remain explicit local residuals."
